STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,08/07/2000,61,"H,,S",74,",,S",55,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,12/07/2000,64,"H,,S",75,",,S",55,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,29/08/2000,61,"H,,S",76,",,S",54,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,31/08/2000,65,"H,,S",76,",,S",58,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,12/09/2000,66,"H,,S",81,",,S",57,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,14/09/2000,62,"H,,S",76,",,S",58,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,20/09/2000,65,"H,,S",72,",,S",54,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,26/09/2000,62,"H,,S",73,",,S",56,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,19/10/2000,60,"H,,S",71,",,S",54,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,20/10/2000,58,"H,,S",72,",,S",52,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,01/11/2000,69,"H,,S",77,",,S",50,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,05/11/2000,65,"H,,S",,,,
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,07/11/2000,71,"H,,S",78,",,S",53,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,15/11/2000,64,"H,,S",,,,
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,23/11/2000,64,"H,,S",72,",,S",49,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,27/11/2000,62,"H,,S",76,",,S",51,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,05/12/2000,55,"H,,S",65,",,S",44,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,07/12/2000,54,"H,,S",,,,
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,09/12/2000,59,"H,,S",70,",,S",45,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,11/12/2000,61,"H,,S",76,",,S",45,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,13/12/2000,61,"H,,S",75,",,S",47,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,15/12/2000,64,"H,,S",74,",,S",48,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,16/01/2001,66,"H,,S",76,",,S",47,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,18/01/2001,64,"H,,S",77,",,S",49,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,23/01/2001,61,"H,,S",,,,
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,24/01/2001,60,"H,,S",,,,
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,26/01/2001,58,"H,,S",,,,
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,28/02/2001,65,"H,,S",,,,
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,07/03/2001,65,"H,,S",,,,
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,15/03/2001,71,"H,,S",,,,
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,11/04/2001,78,"H,,S",88,",,S",57,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,09/05/2001,57,"H,,S",70,",,S",49,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,07/06/2001,62,"H,,S",81,",,S",57,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,13/06/2001,65,"H,,S",75,",,S",57,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,14/05/2002,69,"H,,S",78,",,S",56,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,15/05/2002,61,"H,,S",75,",,S",54,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,22/05/2002,72,"H,,S",78,",,S",53,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,29/05/2002,77,"H,,S",84,",,S",57,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,31/05/2002,75,"H,,S",82,",,S",58,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,04/06/2002,73,"H,,S",79,",,S",53,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,06/08/2002,64,"H,,S",77,",,S",55,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,22/08/2002,65,"H,,S",79,",,S",55,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,03/09/2002,65,"H,,S",75,",,S",54,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,12/09/2002,62,"H,,S",,,,
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,30/10/2002,69,"H,,S",76,",,S",55,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,04/11/2002,66,"H,,S",,,,
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,05/11/2002,65,"H,,S",73,",,S",56,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,26/11/2002,60,"H,,S",,,,
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,10/12/2002,62,"H,,S",73,",,S",43,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,16/01/2003,59,"H,,S",69,",,S",40,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,18/02/2003,64,"H,,S",75,",,S",46,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,19/02/2003,65,"H,,S",78,",,S",50,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,20/02/2003,68,"H,,S",,,,
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,20/03/2003,64,"H,,S",,,,
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,16/05/2003,72,"H,,S",86,",,S",60,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,19/06/2003,61,"H,,S",69,",,S",55,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,27/08/2003,62,"H,,S",74,",,S",54,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,02/10/2003,63,"H,,S",,,,
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,17/02/2004,61,"H,,S",76,",,S",43,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,26/03/2004,72,"H,,S",82,",,S",54,",D,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,21/04/2004,73,"H,,S",82,",,S",54,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,01/06/2004,69,"H,,S",81,",,S",57,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,03/06/2004,62,"H,,S",74,",,S",57,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,17/06/2004,64,"H,,S",79,",,S",55,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,22/06/2004,63,"H,,S",77,",,S",54,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,23/06/2004,63,"H,,S",74,",,S",55,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,18/08/2004,69,"H,,S",75,",,S",55,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,07/09/2004,67,"H,,S",76,",,S",55,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,07/10/2004,65,"H,,S",,,,
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,26/10/2004,70,"H,,S",80,",,S",54,",D,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,11/11/2004,63,"H,,S",73,",,S",44,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,19/11/2004,66,"H,,S",75,",,S",47,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,26/11/2004,68,"H,,S",,,,
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,08/02/2005,69,"H,,S",,,,
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,16/02/2005,69,"H,,S",77,",,S",52,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,17/02/2005,69,"H,,S",79,",,S",52,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,21/04/2005,76,"H,,S",84,",,S",59,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,22/04/2005,76,"H,,S",83,",,S",60,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,27/04/2005,76,"H,,S",84,",,S",57,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,29/04/2005,77,"H,,S",86,",,S",59,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,24/05/2005,70,"H,,S",81,",,S",51,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,26/05/2005,76,"H,,S",83,",,S",56,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,01/06/2005,76,"H,,S",,,,
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,03/06/2005,80,"H,,S",86,",,S",60,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,06/06/2005,80,"H,,S",89,",,S",56,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,08/06/2005,82,"H,,S",90,",,S",61,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,09/06/2005,80,"H,,S",89,",,S",60,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,10/06/2005,79,"H,,S",,,,
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,11/06/2005,76,"H,,S",89,",,S",61,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,13/06/2005,79,"H,,S",89,",,S",61,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,14/06/2005,74,"H,,S",87,",,S",57,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,15/06/2005,68,"H,,S",82,",,S",57,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,16/06/2005,64,"H,,S",,,,
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,17/06/2005,68,"H,,S",,,,
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,20/06/2005,70,"H,,S",85,",,S",55,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,21/06/2005,61,"H,,S",77,",,S",50,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,23/06/2005,61,"H,,S",,,,
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,24/06/2005,59,"H,,S",,,,
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,26/06/2005,60,"H,,S",,,,
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,28/06/2005,63,"H,,S",69,",,S",56,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,30/06/2005,70,"H,,S",,,,
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,01/07/2005,71,"H,,S",81,",,S",54,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,02/07/2005,65,"H,,S",81,",,S",56,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,03/07/2005,73,"H,,S",81,",,S",55,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,04/07/2005,61,"H,,S",,,,
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,06/07/2005,64,"H,,S",,,,
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,08/07/2005,65,"H,,S",,,,
